,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
1016,Memorandum on Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,Memorandum for the Secretary of Transportation,Provision of Aviation Insurance Coverage for Commercial Air Carrier Service in Domestic and International Operations,"Communications to Federal Agencies : Commercial air carrier service, provision of aviation insurance coverage, memorandum.",Aviation : Air carrier insurance.,Barack H. Obama,"August 21, 2009","11:15 a.m., August 25, 2009",200900661
1017,"Memorandum on Designation of Officers of the United States Section, International Boundary and Water Commission, United States and Mexico To Act as the Commissioner of the United States Section","Memorandum for the Commissioner of the United States Section, International Boundary and Water Commission, United States and Mexico","Designation of Officers of the United States Section, International Boundary and Water Commission, United States and Mexico to Act as the Commissioner of the United States Section","Communications to Federal Agencies : International Boundary and Water Commission, U.S. and Mexico, memorandum designating officers to act as Commissioner.","Boundary and Water Commission, International (U.S. and Mexico).",Barack H. Obama,"August 31, 2009","8:45 a.m., September 1, 2009",200900672
1018,"Memorandum on Eligibility of the Maldives To Receive Defense Articles and Defense Services Under the Foreign Assistance Act of 1961, as Amended, and the Arms Export Control Act, as Amended",Memorandum for the Secretary of State,"Eligibility of the Maldives to Receive Defense Articles and Defense Services under the Foreign Assistance Act of 1961, as Amended, and the Arms Export Control Act, as Amended","Communications to Federal Agencies : Maldives, eligibility to receive defense articles and services, memorandum.",Maldives : U.S. military assistance.,Barack H. Obama,"September 7, 2009",,200900689
1019,"Memorandum on Eligibility of the Economic Community of Central African States To Receive Defense Articles and Defense Services Under the Foreign Assistance Act of 1961, as Amended, and the Arms Export Control Act, as Amended",Memorandum for the Secretary of State,"Eligibility of the Economic Community of Central African States to Receive Defense Articles and Defense Services under the Foreign Assistance Act of 1961, as Amended, and the Arms Export Control Act, as Amended","Communications to Federal Agencies : Africa :: Economic Community of Central African States, eligibility to receive defense articles and services, memorandum.",Africa : Economic Community of Central African States :: U.S. military assistance.,Barack H. Obama,"September 7, 2009",,200900690
1020,Memorandum on Imports of Certain Passenger Vehicle and Light Truck Tires From the People's Republic of China,"Memorandum for the Secretary of Commerce, the Secretary of Labor, and the United States Trade Representative",Imports of Certain Passenger Vehicle and Light Truck Tires from the People's Republic of China,"Communications to Federal Agencies : China :: Imports of certain passenger vehicle and light truck tires, memorandum.","China : Imports of certain passenger vehicle and light truck tires, additional duty on.",Barack H. Obama,"September 11, 2009","8:45 a.m., September 15, 2009",200900702
1021,Memorandum on Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,Memorandum for the Secretary of State and the Secretary of the Treasury,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,"Communications to Federal Agencies : Trading With the Enemy Act, continuation of exercise of certain authorities under, memorandum.",Trading With the Enemy Act.,Barack H. Obama,"September 11, 2009","8:45 a.m., September 15, 2009",200900705
1022,"Memorandum on Demonstration Grants for the Development, Implementation, and Evaluation of Alternatives to the Current Medical Liability System",Memorandum for the Secretary of Health and Human Services,"Demonstration Grants for the Development, Implementation, and Evaluation of Alternatives to the Current Medical Liability System","Communications to Federal Agencies : Medical liability system, demonstration grants to develop, implement, and evaluate alternatives, memorandum.",Health and medical care : Medical liability reform.,Barack H. Obama,"September 17, 2009","11:15 a.m., September 18, 2009",200900724
1023,Memorandum on FY 2010 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status,Memorandum for the Secretary of State,"Fiscal Year 2010 Refugee Admissions Numbers and Authorizations of In-Country Refugee Status Pursuant to Sections 207 and 101(a)(42), Respectively, of the Immigration and Nationality Act, and Determination Pursuant to Section 2(b)(2) of the Migration and Refugee Assistance Act, as Amended"," Communications to Federal Agencies : Refugee admissions numbers, FY 2010, and authorizations of in-country refugee status, memorandum.",Immigration and naturalization : Refugees.,Barack H. Obama,"September 30, 2009",,200900764
1024,Memorandum on Waiver of and Certification of Statutory Provisions Regarding the Palestine Liberation Organization Office,Memorandum for the Secretary of State,Waiver of and Certification of Statutory Provisions Regarding the Palestine Liberation Organization Office,"Communications to Federal Agencies : Palestine Liberation Organization, waiver and certification of statutory provisions, memorandum.",Palestinian Authority and Palestinians : Palestine Liberation Organization.,Barack H. Obama,"October 8, 2009","8:45 a.m., October 14, 2009",200900790
1025,Memorandum on Provision of United States Drug Interdiction Assistance to the Government of Brazil,Memorandum for the Secretary of State and the Secretary of Defense,Provision of U.S. Drug Interdiction Assistance to the Government of Brazil,"Communications to Federal Agencies : Brazil, drug interdiction assistance, memorandum.",Brazil : Drug interdiction efforts.,Barack H. Obama,"October 16, 2009","8:45 a.m., October 21, 2009",200900815
1026,Memorandum on Tribal Consultation,Memorandum for the Heads of Executive Departments and Agencies,Tribal Consultation,"Communications to Federal Agencies : Tribal consultation, memorandum","American Indians and Alaska Natives : Tribal consultation with the Federal Government; American Indians and Alaska Natives : Tribal nations, relations with the Federal Government.",Barack H. Obama,"November 5, 2009","11:15 a.m., November 6, 2009",200900887
1027,Memorandum on Inventory of Files Related to Fort Hood Shooting,"Memorandum for the Secretary of Defense, the Director of National Intelligence, and the Director of the Federal Bureau of Investigation",Inventory of Files Related to Fort Hood Shooting,"Communications to Federal Agencies : Foot Hood shooting, inventory of files, memorandum.","Army, Department of the : Fort Hood, shooting; Texas : Fort Hood, shooting.",Barack H. Obama,"November 10, 2009",,200900904
1028,"Memorandum on Assignment of Functions Under the National Defense Authorization Act for Fiscal Year 2010; the Department of Homeland Security Appropriations Act, 2010; and the Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010","Memorandum for the Secretary of State, Secretary of Defense, and the Attorney General","Assignment of Functions Under the National Defense Authorization Act for Fiscal Year 2010; the Department of Homeland Security Appropriations Act, 2010; and the Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010","Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2010, Department of Homeland Security Appropriations Act, 2010, and Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010, assignment of functions under, memorandum","Legislation, enacted : Department of Homeland Security Appropriations Act, 2010; Legislation, enacted : Department of the Interior, Environment, and Related Agencies Appropriations Act, 2010; Legislation, enacted : National Defense Authorization Act for Fiscal Year 2010.",Barack H. Obama,"November 30, 2009","8:45 a.m., December 1, 2009",200900958
1029,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitations Under the Jerusalem Embassy Act,"Communications to Federal Agencies : Jerusalem Embassy Act, suspension of limitations, memorandums","Jerusalem Embassy Act of 1995, suspension of limitations.",Barack H. Obama,"December 3, 2009","8:45 a.m., December 8, 2009",200900969
1030,Memorandum on Medicare Demonstration To Test Medical Homes in Federally Qualified Health Centers,Memorandum for the Secretary of Health and Human Services,Medicare Demonstration To Test Medical Homes in Federally Qualified Health Centers,"Communications to Federal Agencies : Medicare demonstration to test medical homes in Federally qualified health centers, memorandum","Economy, national : American Recovery and Reinvestment Act of 2009; Health and Human Services, Department of : Medical homes, Medicare demonstration project in Federally qualified health centers; Health and medical care : Home health care agencies and programs; Health and medical care : Information technology.",Barack H. Obama,"December 9, 2009","8:45 a.m., December 11, 2009",200900980
1031,Memorandum on Eleventh Quadrennial Review of Military Compensation,Memorandum for the Secretary of Defense,Eleventh Quadrennial Review of Military Compensation," Communications to Federal Agencies : Military compensation, eleventh quadrennial review, memorandum.","Armed Forces, U.S. : Service members :: Pay and benefits, quadrennial review.",Barack H. Obama,"December 11, 2009",,200900989
1032,Memorandum on Directing Certain Actions With Respect to Acquisition and Use of Thomson Correctional Center To Facilitate Closure of Detention Facilities at Guantanamo Bay Naval Base,Memorandum for the Secretary of Defense and the Attorney General,Directing Certain Actions With Respect to Acquisition and Use of Thomson Correctional Center To Facilitate Closure of Detention Facilities at Guantanamo Bay Naval Base,"Communications to Federal Agencies : Thomson Correctional Center, acquisition and use of to facilitate closure of Guantanamo Bay Naval Base detention facilities.","Cuba : Guantanamo Bay, U.S. Naval Base, closure of detention facilities; Illinois : Thomson Correctional Center, Federal Government acquisition and use of to house Guantanamo Bay detainees; Terrorism : Transfer of detainees at Guantanamo Bay.",Barack H. Obama,"December 15, 2009","11:15 a.m., December 16, 2009",200900996
1033,Memorandum on Aviation Screening Technology and Procedures Review,"Memorandum for the Secretary of Homeland Security, the Secretary of State, the Secretary of Defense, the Attorney General, the Secretary of Energy, and the Director of National Intelligence",Aviation Screening Technology and Procedures Review," Communications to Federal Agencies : Aviation screening technology and procedures review, memorandum","Aviation : Airport security detection capabilities, review; Terrorism : December 25 explosive device incident on Northwest Airlines Flight 253.",Barack H. Obama,"December 29, 2009",,200901020
1034,Memorandum on Inventory of Watchlisting Files and Procedures Review,"Memorandum for the Secretary of State, the Secretary of Defense, the Attorney General, the Secretary of Homeland Security, the Director of National Intelligence, the Director of the Central Intelligence Agency, the Director of the Federal Bureau of Investigation, the Director of the National Counterterrorism Center, and the Director of the National Security Agency",Inventory of Watchlisting Files and Procedures Review," Communications to Federal Agencies : Watchlisting files inventory and procedures review, memorandum","Terrorism : December 25 explosive device incident on Northwest Airlines Flight 253; Terrorism : Terrorist watch lists, procedural review.",Barack H. Obama,"December 29, 2009",,200901021
1035,"Memorandum on Implementation of the Executive Order, ""Classified National Security Information""",Memorandum for the Heads of Executive Departments and Agencies,"Implementation of the Executive Order, ""Classified National Security Information""","Communications to Federal Agencies : Executive Order, ""Classified National Security Information,"" memorandum on implementation","Archives and Records Administration, National : Declassification Center, National; Archives and Records Administration, National : Information Security Oversight Office; Archives and Records Administration, National : Public Interest Declassification Board; Defense and national security : Classified national security information; Government organization and employees : Document classification, policy review; White House Office : Assistants to the President :: National Security Adviser.",Barack H. Obama,"December 29, 2009","11:15 a.m., January 4, 2010",200901023
1036,"Memorandum on Provision of Atomic Information to Bulgaria, Estonia, ",Memorandum for the Secretary of Defense,"Provision of Atomic Information to Bulgaria, Estonia, Latvia, Lithuania, Romania, Slovakia, and Slovenia",,,George W. Bush,"January 9, 2009",,20090119
1037,"Memorandum on Limited Waiver of Certain Sanctions Imposed by, and ",Memorandum for the Secretary of State and the Secretary of the Treasury,"Limited Waiver of Certain Sanctions Imposed by, and Delegation of Certain Authorities Pursuant to, the Tom Lantos Block Burmese JADE (Junta's Anti-Democratic Efforts) Act of 2008",,,George W. Bush,"January 15, 2009",,20090119
1038,Memorandum on Proposed Agreement for Cooperation Between the Government ,Memorandum for the Secretary of State and the Secretary of Energy,Proposed Agreement for Cooperation Between the Government of the United States of America and the Government of the United Arab Emirates Concerning Peaceful Uses of Nuclear Energy,,,George W. Bush,"January 15, 2009",,20090119
1039,Memorandum on Eligibility of the Southern African Development Community ,Memorandum for the Secretary of State,"Eligibility of the Southern African Development Community to Receive Defense Articles and Defense Services under the Foreign Assistance Act of 1961, as Amended, and the Arms Export Control Act, as Amended",,,George W. Bush,"January 16, 2009",,20090119
1040,Memorandum on Waiving the Prohibition on the Use of Economic Support ,Memorandum for the Secretary of State,Waiving the Prohibition on the Use of Economic Support Funds with Respect to Various Parties to the Rome Statute Establishing the International Criminal Court,,,George W. Bush,"January 16, 2009",,20090119
1041,Memorandum on Designation of Officers of To Act as Administrator of the ,Memorandum for the Administrator of the National Aeronautics and Space Administration,Designation of Officers of the National Aeronautics and Space Administration To Act as Administrator,,,George W. Bush,"January 16, 2009",,20090119
1042,Memorandum on Designation of Officers To Act as President of the ,Memorandum for the President of the Overseas Private Investment Corporation,Designation of Officers to Act as President of the Overseas Private Investment Corporation,,,George W. Bush,"January 16, 2009",,20090119
1043,"Memorandum on the Attempted Terrorist Attack on December 25, 2009: Intelligence, Screening, and Watchlisting System Corrective Actions","Memorandum for the Secretary of State, the Secretary of Defense, the Attorney General, the Secretary Energy, the Secretary of Homeland Security, the Director of National Intelligence, the Director of the Central Intelligence Agency, the Director of the Federal Bureau of Investigation, the Director of the National Security Agency, the Director of the National Counterterrorism Center","Attempted Terrorist Attack on December 25, 2009: Intelligence, Screening, and Watchlisting System Corrective Actions"," Communications to Federal Agencies : Intelligence, screening, and watchlisting system, memorandum on corrective actions following the December 25, 2009, attempted terrorist attack","Aviation : Advanced airport security systems and technologies, development and funding; Aviation : Air travel security measures, expansion; Aviation : Airport security detection capabilities, review; Central Intelligence Agency; Defense and national security : Intelligence; Homeland Security, Department of : Aviation screening and security systems, international cooperation efforts; Intelligence Advisory Board, President's; Intelligence, Office of the Director of National : Director of National Intelligence; Justice, Department of : Bureau of Investigation, Federal; Security Agency, National; State, Department of : Enhanced visa screening for people with connections to terrorists and terrorist groups; Terrorism : Christmas Day 2009 airline bombing attempt; Terrorism : Counterterrorism Center, National; Terrorism : Counterterrorism efforts; Terrorism : Global threat; Terrorism : September 11, 2001, attacks; Terrorism : Terrorist watch lists, procedural review; White House Office : Assistants to the President :: Homeland Security and Counterterrorism.",Barack H. Obama,"January 7, 2010",,201000009
1044,Memorandum on the Blue Ribbon Commission on America's Nuclear Future,Memorandum for the Secretary of Energy,Blue Ribbon Commission on America's Nuclear Future,"Communications to Federal Agencies : Blue Ribbon Commission on America's Nuclear Future, memorandum on","Energy : Nuclear energy; Energy, Department of : America's Nuclear Future, Blue Ribbon Commission on.",Barack H. Obama,"January 29, 2010","8:45 a.m., February 2, 2010",201000063
1045,Memorandum on Certifications Pursuant to the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act,Memorandum for the Secretary of State,Certifications Pursuant to Section 104 of the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act Regarding the Safeguards Agreement Between India and the International Atomic Energy Agency,"Communications to Federal Agencies : United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act, memorandum on certifications","Arms and munitions : Nuclear weapons and material :: Nonproliferation efforts; Energy : Nuclear energy; India : Nuclear energy, cooperation with U.S.",Barack H. Obama,"February 3, 2010","8:45 a.m., February 18, 2010",201000075
1046,Memorandum on Establishing a Task Force on Childhood Obesity,Memorandum for the Heads of Executive Departments and Agencies,Establishing a Task Force on Childhood Obesity,"Communications to Federal Agencies : Task Force on Childhood Obesity, memorandum on establishment","Children and youth : Childhood obesity, prevention efforts; Health and Human Services, Department of : Childhood Obesity, Task Force on.",Barack H. Obama,"February 9, 2010","8:45 a.m., February 17, 2010",201000088
1047,Memorandum on Finding and Recapturing Improper Payments,Memorandum for the Heads of Executive Departments and Agencies,Finding and Capturing Improper Payments,"Communications to Federal Agencies : Improper payments in Federal programs, finding and recapturing, memorandum","Government organization and employees : Accountability and transparency, strengthening efforts; Government organization and employees : Federal programs, improvement efforts; Government organization and employees : Improper payments in Federal programs, reduction efforts; Government organization and employees : Payment recapture audits, expansion of use.",Barack H. Obama,"March 10, 2010","8:45 a.m., March 12, 2010",201000162
1048,Memorandum on Delegation of Certain Functions Under Section 204(c) of the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act,Memorandum for the Secretary of State,Delegation of Certain Functions Under Section 204(c) of the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act (Public Law 110–369),"Communications to Federal Agencies : United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act, delegation of certain functions, memorandum","Arms and munitions : Nuclear weapons and material :: Nonproliferation efforts; Energy : Nuclear energy; India : Nuclear energy, cooperation with U.S.",Barack H. Obama,"March 10, 2010","8:45 a.m., March 19, 2010",201000163
1049,Memorandum on Deferred Enforced Departure for Liberians,Memorandum for the Secretary of Homeland Security,Deferred Enforced Departure for Liberians,"Communications to Federal Agencies : Liberia, refugees in the U.S., deferred enforced departure, memorandum","Liberia : Liberian refugees in the U.S., status.",Barack H. Obama,"March 18, 2010",,201000187
1050,Memorandum on Withdrawal of Certain Areas of the United States Outer Continental Shelf From Leasing Disposition,Memorandum for the Secretary of the Interior,Withdrawal of Certain Areas of the United States Outer Continental Shelf from Leasing Disposition," Communications to Federal Agencies : United States Outer Continental Shelf, withdrawal of certain areas from leasing disposition, memorandum.",Energy : Domestic sources; Energy : Offshore oil and gas drilling.,Barack H. Obama,"March 31, 2010",,201000214
1051,Memorandum on Combating Noncompliance with Recovery Act Reporting Requirements,Memorandum for the Heads of Executive Departments and Agencies,Combating Noncompliance with Recovery Act Reporting Requirements,"Communications to Federal Agencies : American Recovery and Reinvestment Act of 2009, combating noncompliance with reporting requirements, memorandum.","Economy, national : American Recovery and Reinvestment Act of 2009; Economy, national : Economic recovery, oversight and transparency.",Barack H. Obama,"April 6, 2010","11:15 a.m., April 7, 2010",201000234
1052,Memorandum on Delegation of a Reporting Authority,Memorandum for the Secretary of State,Delegation of a Reporting Authority," Communications to Federal Agencies : Delegation of reporting authority, memorandum.","State, Department of : Secretary :: Delegation of reporting authority.",Barack H. Obama,"April 7, 2010",,201000240
1053,Memorandum on Respecting the Rights of Hospital Patients To Receive Visitors and To Designate Surrogate Decision Makers for Medical Emergencies,Memorandum for the Secretary of Health and Human Services,Respecting the Rights of Hospital Patients To Receive Visitors and To Designate Surrogate Decision Makers for Medical Emergencies,"Communications to Federal Agencies : Hospital patient rights to receive visitors and designate surrogate decisionmakers for medical emergencies, memorandum","Health and medical care : Hospitals :: Patient visitor policy; Health and medical care : Hospitals :: Surrogate decisionmakers, patient designation.",Barack H. Obama,"April 15, 2010","8:45 a.m., April 19, 2010",201000267
1054,Memorandum on a 21st Century Strategy for America's Great Outdoors,"Memorandum for the Secretary of the Interior, the Secretary of Agriculture, the Administrator of the Environmental Protection Agency, and the Chair of the Council on Environmental Quality",A 21st Century Strategy for America's Great Outdoors,"Communications to Federal Agencies : America's Great Outdoors Initiative, memorandum",Environment : Conservation :: America's Great Outdoors Initiative.,Barack H. Obama,"April 16, 2010","11:15 a.m., April 19, 2010",201000270
1055,Memorandum on Delegation of Certain Functions Under Section 1265 of the National Defense Authorization Act for Fiscal Year 2010,Memorandum for the Secretary of State,Delegation of Certain Functions Under Section 1265 of the National Defense Authorization Act for Fiscal Year 2010,"Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2010, delegation of certain functions, memorandum.","Defense Authorization Act for Fiscal Year 2010, National, delegation of certain functions.",Barack H. Obama,"April 20, 2010","8:45 a.m., April 27, 2010",201000289
1056,Memorandum on Delegation of Certain Functions Under Section 1265 of the National Defense Authorization Act for Fiscal Year 2010,Memorandum for the Secretary of State,Delegation of Certain Functions Under Section 1265 of the National Defense Authorization Act for Fiscal Year 2010,"Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2010, delegation of certain functions, memorandum.","Defense Authorization Act for Fiscal Year 2010, National, delegation of certain functions.",Barack H. Obama,"April 20, 2010","8:45 a.m., April 27, 2010",201000290
1057,Memorandum on Establishing an Interagency Task Force on Federal Contracting Opportunities for Small Businesses,Memorandum for the Heads of Executive Departments and Agencies,Establishing an Interagency Task Force on Federal Contracting Opportunities for Small Businesses,"Communications to Federal Agencies : Interagency Task Force on Federal Contracting Opportunities for Small Businesses, memorandum on establishing.","Business and industry : Small and minority businesses; Economy, national : American Recovery and Reinvestment Act of 2009; Federal Contracting Opportunities for Small Businesses, Interagency Task Force on; Government organization and employees : Federal Government contracting policies, reform.",Barack H. Obama,"April 26, 2010","8:45 a.m., April 28, 2010",201000300
1058,"Memorandum on Delegation of Certain Functions Under Section 104(g) of the United States-India Peaceful Atomic Energy Cooperation Act of 2006, as Amended by Public Law 110–369",Memorandum for the Secretary of State,"Delegation of Certain Functions Under Section 104(g) of the United States-India Peaceful Atomic Energy Cooperation Act of 2006, as Amended by Public Law 110–369","Communications to Federal Agencies : U.S.-India Peaceful Atomic Energy Cooperation Act of 2006, delegation of functions",India : Nuclear energy cooperation with U.S.,Barack H. Obama,"April 27, 2010","8:45 a.m., May 3, 2010",201000306
1059,Memorandum on Delegation of Certain Functions Under Section 1232 of the National Defense Authorization Act for Fiscal Year 2010,Memorandum for the Secretary of Defense,Delegation of Certain Functions Under Section 1232 of the National Defense Authorization Act for Fiscal Year 2010,"Communications to Federal Agencies : National Defense Authorization Act for Fiscal Year 2010, delegation of functions, memorandum","Defense Authorization Act for Fiscal Year 2010, National.",Barack H. Obama,"April 27, 2010",,201000307
1060,Memorandum on the Task Force on Space Industry Workforce and Economic Development,"Memorandum for the Secretary of Defense, the Secretary of Commerce, the Secretary of Labor, the Secretary of Housing and Urban Development, the Secretary of Transportation, the Secretary of Education, the Director of the Office of Management and Budget, the Administrator of the Small Business Administration, the Administrator of the National Aeronautics and Space Administration, the Chair of the Council of Economic Advisers, the Director of National Intelligence, the Director of the Office of Science and Technology Policy, and the Director of the National Economic Council",Task Force on Space Industry Workforce and Economic Development,"Communications to Federal Agencies : Task Force on Space Industry Workforce and Economic Development, memorandum on","Space program : Aeronautics and Space Administration, National :: Space Industry Workforce and Economic Development, Task Force on; Space program : Private sector involvement.",Barack H. Obama,"May 3, 2010","8:45 a.m., May 5, 2010",201000337
1061,Memorandum on Delegation of Authority Relating to Certain Functions Under Section 201(b) of the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act (Public Law 110–369),Memorandum for the Secretary of Energy,Delegation of Authority Relating to Certain Functions Under Section 201(b) of the United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act (Public Law 110–369),"Communications to Federal Agencies : United States-India Nuclear Cooperation Approval and Nonproliferation Enhancement Act, delegation of certain functions, memorandum","Arms and munitions : Nuclear weapons and material :: Nonproliferation efforts; Energy : Nuclear energy; India : Nuclear energy, cooperation with U.S.",Barack H. Obama,"May 4, 2010","8:45 a.m., May 13, 2010",201000343
1062,Memorandum on Determination on the Proposed Agreement Between the Government of the United States of America and the Government of Australia Concerning Peaceful Uses of Nuclear Energy,Memorandum for the Secretary of State and the Secretary of Energy,Determination on the Proposed Agreement Between the Government of the United States of America and the Government of Australia Concerning Peaceful Uses of Nuclear Energy,"Communications to Federal Agencies : Australia, proposed agreement for cooperation with the U.S. on peaceful uses of nuclear energy, memorandum","Australia : Nuclear energy, cooperation with U.S.",Barack H. Obama,"May 4, 2010","8:45 a.m., May 13, 2010",201000347
1063,Memorandum on Improving the Federal Recruitment and Hiring Process,Memorandum for the Heads of Executive Departments and Agencies,Improving the Federal Recruitment and Hiring Process,"Communications to Federal Agencies : Federal recruitment and hiring process, improvement efforts, memorandum","Government organization and employees : Recruitment and hiring process, improvement efforts.",Barack H. Obama,"May 11, 2010","8:45 a.m., May 13, 2010",201000365
1064,"Memorandum on Improving Energy Security, American Competitiveness and Job Creation, and Environmental Protection Through a Transformation of Our Nation's Fleet of Cars and Trucks","Memorandum for the Secretary of Transportation, the Secretary of Energy, the Administrator of the Environmental Protection Agency, and the Administrator of the National Highway Traffic Safety Administration","Improving Energy Security, American Competitiveness and Job Creation, and Environmental Protection Through a Transformation of Our Nation's Fleet of Cars and Trucks","Communications to Federal Agencies : Cars and trucks, transformation of fleet to improve energy security, American competitiveness and job creation, and environmental protection, memorandum.","Economy, national : Strengthening efforts; Employment and unemployment : Job creation and growth; Energy : Alternative and renewable sources and technologies; Energy : Alternative energy products and technologies, U.S. production; Energy : Biofuels and ethanol; Energy : Fuel efficiency standards, strengthening efforts; Energy : Greenhouse gas emissions, regulation.",Barack H. Obama,"May 21, 2010","8:45 a.m., May 25, 2010",201000409
1065,Memorandum on Designating the Chairperson of the Defense Production Act Committee,Memorandum for the Secretary of Defense and the Secretary of Homeland Security,Designating the Chairperson of the Defense Production Act Committee,"Communications to Federal Agencies : Defense Production Act Committee Chairperson, memorandum designating.",Defense Production Act Committee.,Barack H. Obama,"May 19, 2010","8:45 a.m., June 4, 2010",201000443
1066,Memorandum on Delegation of Authority to Appoint Commissioned Officers of the Ready Reserve Corps of the Public Health Service,Memorandum for the Secretary of Health and Human Services,Delegation of Authority to Appoint Commissioned Officers of the Ready Reserve Corps of the Public Health Service,"Communications to Federal Agencies : Public Health Service, appointment of Ready Reserve Corps commissioned officers, delegation of authority, memorandum","Health and Human Services, Department of : Public Health Service.",Barack H. Obama,"June 1, 2010","8:45 a.m., June 7, 2010",201000447
1067,Memorandum on Extension of Benefits to Same-Sex Domestic Partners of Federal Employees,Memorandum for the Heads of Executive Departments and Agencies,Extension of Benefits to Same-Sex Domestic Partners of Federal Employees,"Communications to Federal Agencies : Same-sex domestic partners of Federal employees, extension of benefits, memorandum","Civil rights : Lesbian, gay, bisexual, and transgender persons, equality; Government organization and employees : Same-sex domestic partnerships, employee family benefits.",Barack H. Obama,"June 2, 2010","8:45 a.m., June 7, 2010",201000450
1068,Memorandum on Suspension of Limitations Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitations Under the Jerusalem Embassy Act," Communications to Federal Agencies : Jerusalem Embassy Act, suspension of limitations, memorandum","Jerusalem Embassy Act of 1995, suspension of limitation.",Barack H. Obama,"June 2, 2010",,201000451
1069,Memorandum on Unexpected Urgent Refugee and Migration Needs Related to Somalia and Food Pipeline Breaks for Refugee and Other Displaced Populations of Concern Globally,Memorandum for the Secretary of State,Unexpected Urgent Refugee and Migration Needs Related to Somalia and Food Pipeline Breaks for Refugee and Other Displaced Populations of Concern Globally,"Communications to Federal Agencies : Somalia and global food pipeline breaks, refugee and migration needs for refugees and displaced populations affected by, memorandum.","Foreign policy, U.S. : Civil and human rights, promotion efforts; Refugee and Migration Assistance Fund, U.S. Emergency.",Barack H. Obama,"June 8, 2010",,201000474
1070,Memorandum on,Memorandum for the Heads of Executive Departments and Agencies,"Disposing of Unneeded Federal Real Estate—Increasing Sales Proceeds, Cutting Operating Costs, and Improving Energy Efficiency","Communications to Federal Agencies : Unneeded Federal real estate, disposal of to increase sales proceeds, cut operating costs, and improve energy efficiency, memorandum.","Energy : Energy-efficient homes and buildings; Government organization and employees : Unnecessary Federal buildings, disposal of to cut operating costs and improve energy efficiency.",Barack H. Obama,"June 10, 2010","8: 45 a.m., June 15, 2010",201000483
1071,"Memorandum on Enhancing Payment Accuracy Through a ""Do Not Pay List""",Memorandum for the Heads of Executive Departments and Agencies,"Enhancing Payment Accuracy Through a ""Do Not Pay List""",,,Barack H. Obama,"June 18, 2010","11:15 a.m., June 22, 2010",201000512
1072,Memorandum on Lobbyists on Agency Boards and Commissions,Memorandum for the Heads of Executive Departments and Agencies,Lobbyists on Agency Boards and Commissions,,,Barack H. Obama,"June 18, 2010","11:15 a.m., June 22, 2010",201000513
1073,Memorandum on Providing Stability and Security for Medicare,Memorandum for the Secretary of Health and Human Services,Providing Stability and Security for Medicare Reimbursements,"Communications to Federal Agencies : Medicare reimbursements, providing stability and security for, memorandum.",Health and medical care : Medicare and Medicaid; Health and medical care : Physicians :: Medicare and Medicaid reimbursement.,Barack H. Obama,"June 25, 2010","11:15 a.m., June 29, 2010",201000544
1074,Memorandum on Unleashing the Wireless Broadband Revolution,Memorandum for the Heads of Executive Departments and Agencies,Unleashing the Wireless Broadband Revolution,"Communications to Federal Agencies : Wireless broadband revolution, memorandum on unleashing.",Science and technology : Broadband technology.,Barack H. Obama,"June 28, 2010","11:15 a.m., June 30, 2010",201000556
1075,Memorandum on Long-Term Gulf Coast Restoration Support Plan,Memorandum for the Heads of Executive Departments and Agencies,Long-Term Gulf Coast Restoration Support Plan,"Communications to Federal Agencies : Gulf Coast Restoration Support Plan, memorandum.",Gulf of Mexico : Deepwater Horizon oil spill :: Economic effects and recovery efforts; Gulf of Mexico : Deepwater Horizon oil spill :: Environmental effects and cleanup efforts.,Barack H. Obama,"June 30, 2010","11:15 a.m., July 2, 2010",201000564
1076,Memorandum on the Implementation of the National HIV/AIDS Strategy,Memorandum for the Heads of Executive Departments and Agencies,Implementation of the National HIV/AIDS Strategy,"Communications to Federal Agencies : National HIV/AIDS strategy implementation, memorandum.",HIV/AIDS : Domestic prevention and treatment strategy.,Barack H. Obama,"July 13, 2010","11:15 a.m., July 15, 2010",201000593
